tipo,indice,valor
CPU,1,6.93332
CPU,45,8.36668
CPU,43,8.43332
CPU,41,8.48335
CPU,39,8.53332
CPU,37,8.56668
CPU,35,8.6
CPU,33,8.63332
CPU,31,8.68335
CPU,29,8.71665
CPU,27,8.75
CPU,25,8.78335
CPU,21,8.83333
CPU,19,8.85
CPU,15,10.3666
CPU,3,6.88333
CPU,5,6.85
CPU,7,6.8
CPU,9,6.76665
CPU,11,6.73335
CPU,13,6.7
CPU,17,13.55
CPU,23,12.9167
CPU,47,10.45
CPU,55,7.26668
CPU,57,7.2
CPU,59,7.15
CPU,61,7.11667
CPU,63,7.05
CPU,49,10.5333
CPU,53,7.3
CPU,51,12.0333
CPU,65,10.55
CPU,67,8.56668
CPU,69,8.51667
CPU,71,8.46665
CPU,73,8.41667
CPU,75,8.36668
CPU,77,8.3
CPU,79,8.23333
CPU,81,8.16667
CPU,83,8.1
CPU,85,8.03335
CPU,87,7.96665
CPU,89,7.9
CPU,91,10.2667
CPU,93,5.85
CPU,95,5.78335
CPU,97,10.2167
CPU,99,7.13335
IO,56,9559.62
IO,0,9582.37
IO,68,9563.6
IO,90,9561.45
IO,14,9582.55
IO,72,9568.32
IO,76,9570.7
IO,20,9587.35
IO,2,9592.17
IO,16,9590.87
IO,66,9581.1
IO,18,9596.87
IO,4,9600.7
IO,80,9582.5
IO,84,9582.03
IO,40,9598.82
IO,86,9583.8
IO,62,9589.88
IO,94,9579.92
IO,38,9603.17
IO,96,9582.42
IO,48,9598.82
IO,10,9610.17
IO,44,9606.72
IO,32,9610.55
IO,78,9596.18
IO,24,9613.45
IO,82,9597
IO,98,9592.3
IO,74,9603.55
IO,8,9622.67
IO,36,9620.6
IO,70,9607.58
IO,42,9622.67
IO,60,9612.82
IO,12,9627.58
IO,88,9608.65
IO,46,9623.57
IO,92,9604.22
IO,64,9614.62
IO,6,9631.07
IO,54,9616.65
IO,34,9627.33
IO,58,9616.83
IO,26,9628.55
IO,50,9618.08
IO,22,9629.1
IO,52,9618.05
IO,30,9628.47
IO,28,9628.68
