tipo,indice,valor
CPU,3,0.616675
CPU,5,0.616675
CPU,1,0.6
CPU,7,0.61665
CPU,9,0.616675
CPU,11,0.616675
CPU,13,0.63335
CPU,15,0.616675
CPU,17,0.61665
CPU,19,0.616675
CPU,21,0.616675
CPU,23,0.633325
CPU,25,0.63335
CPU,27,0.616675
CPU,29,0.633325
CPU,31,0.63335
CPU,33,0.633325
CPU,35,0.616675
CPU,37,0.616675
CPU,39,0.61665
CPU,41,0.616675
CPU,43,0.63335
CPU,45,0.633325
CPU,47,0.633325
CPU,49,0.616675
IO,0,5200.87
IO,2,5200.43
IO,4,5199.82
IO,6,5199.22
IO,8,5198.62
IO,10,5198.02
IO,12,5197.4
IO,14,5196.8
IO,16,5196.17
IO,18,5195.55
IO,20,5194.93
IO,22,5194.32
IO,24,5193.68
IO,26,5193.07
IO,28,5192.45
IO,30,5191.83
IO,32,5191.22
IO,34,5190.58
IO,36,5189.97
IO,38,5189.35
IO,40,5188.72
IO,42,5188.08
IO,44,5187.47
IO,46,5186.83
IO,48,5186.18
