tipo,indice,valor
CPU,1,0.616675
CPU,3,0.616675
CPU,5,0.61665
CPU,7,0.63335
CPU,9,0.61665
CPU,11,0.616675
CPU,13,0.61665
CPU,15,0.616675
CPU,17,0.616675
CPU,19,0.616675
CPU,21,0.616675
CPU,23,0.616675
CPU,25,0.633325
CPU,27,0.616675
CPU,29,0.616675
CPU,31,0.616675
CPU,33,0.61665
CPU,35,0.63335
CPU,37,0.616675
CPU,39,0.633325
CPU,41,0.616675
CPU,43,0.633325
CPU,45,0.633325
CPU,47,0.616675
CPU,49,0.63335
CPU,51,0.633325
CPU,53,0.633325
CPU,55,0.633325
CPU,57,0.63335
CPU,59,0.633325
CPU,61,0.633325
CPU,63,0.633325
CPU,65,0.63335
CPU,67,0.65
CPU,69,0.633325
CPU,71,0.633325
CPU,73,0.65
CPU,75,0.633325
CPU,77,0.633325
CPU,79,0.63335
CPU,81,0.63335
CPU,83,0.633325
CPU,85,0.633325
CPU,87,0.633325
CPU,89,0.633325
CPU,91,0.633325
CPU,93,0.65
CPU,95,0.65
CPU,97,0.633325
CPU,99,0.65
IO,0,8801.9
IO,2,8801.37
IO,4,8800.78
IO,6,8800.2
IO,8,8799.62
IO,10,8799.07
IO,12,8798.62
IO,14,8797.85
IO,16,8797.23
IO,18,8796.85
IO,20,8796.12
IO,22,8795.65
IO,24,8795.03
IO,28,8793.8
IO,26,8794.47
IO,30,8793.12
IO,32,8792.63
IO,34,8792.02
IO,38,8790.8
IO,36,8791.35
IO,40,8790.05
IO,44,8788.95
IO,42,8789.62
IO,46,8788.37
IO,48,8787.73
IO,50,8787.12
IO,52,8786.35
IO,56,8785.23
IO,54,8785.88
IO,60,8783.98
IO,58,8784.63
IO,62,8783.37
IO,66,8782.13
IO,64,8782.6
IO,70,8780.87
IO,72,8780.23
IO,68,8781.52
IO,76,8778.78
IO,74,8779.62
IO,78,8778.33
IO,80,8777.7
IO,82,8777.05
IO,84,8776.43
IO,86,8775.77
IO,88,8774.98
IO,92,8773.85
IO,90,8774.5
IO,94,8773.23
IO,98,8771.9
IO,96,8772.58
