tipo,indice,valor
CPU,43,1.23335
CPU,19,2.45
CPU,49,0.616675
CPU,23,0.616675
CPU,17,0.633325
CPU,27,3.06668
CPU,7,3.01668
IO,32,3259.28
IO,40,3412.52
IO,14,3487.2
IO,42,3595.67
IO,28,3667.85
IO,8,3673.97
IO,26,3813.08
IO,10,3797.13
IO,16,3889.55
IO,22,3981.27
IO,48,4006.72
IO,4,3873.35
IO,38,4059.73
IO,2,4211.95
IO,36,4271.53
IO,34,4328.18
IO,30,4482.6
IO,20,4504.3
IO,6,4577.45
IO,0,4641.67
IO,12,4832.67
IO,18,4935.97
IO,44,5108.03
IO,24,5186.7
IO,46,5384.08
CPU,29,0.616675
CPU,35,1.23333
CPU,33,0.61665
CPU,39,1.83335
CPU,3,4.25
CPU,15,3.01668
CPU,37,1.23333
CPU,9,3.01668
CPU,1,0.6
CPU,13,3.01668
CPU,25,1.21667
CPU,45,1.23333
CPU,5,3.01668
CPU,47,1.2
CPU,31,1.85
CPU,11,3.63333
CPU,21,1.83335
CPU,41,0.6
